"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @Ary_AntiPT: ""@folha_poder: Ministro do STF confirma delação de Delcídio que cita Dilma e Lula. https://t.co/AiBSeYdlaj""
#LulaGolpista T…",FALSE,0,NA,2016-03-16 00:41:54,FALSE,NA,"709902477248897024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nevescorretor",5,TRUE,FALSE,NA,NA
"2","RT @Rede45: Mais um recorde de Dilma: desemprego no Brasil cresce 8,5%, maior alta desde 2012 https://t.co/0ZgleQy8oy #DesgovernoDilma",FALSE,0,NA,2016-03-16 00:41:52,FALSE,NA,"709902470261121024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","smpraddo",21,TRUE,FALSE,NA,NA
"3","O Lula como ministro do Gov. Dilma é de fato um escárnio c os brasileiros que tomaram as ruas domingo. Panelaço amanhã. Lula em Fugademoro.",FALSE,0,NA,2016-03-16 00:41:52,FALSE,NA,"709902469078376448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pastorananias",0,FALSE,FALSE,NA,NA
"4","RT @edugoldenberg: A você eu sei. Ambos te chamarão de BABACA. RT @BlogdoNoblat: Como Dilma chamará Lula? De ministro? De presidente? E ele…",FALSE,0,NA,2016-03-16 00:41:52,FALSE,NA,"709902467543252992",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Nego_bom_hp",32,TRUE,FALSE,NA,NA
"5","Lula e Dilma estão reunidos e estão tranquilos... Alguém manda Jandirão ir lá PELAMORRRR... #LulaGolpista",FALSE,0,NA,2016-03-16 00:41:51,FALSE,NA,"709902463025979393",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","reclamadoria",0,FALSE,FALSE,NA,NA
"6","@paulocolnaghi Sim. Dilma foi posta diante do seguinte dilema: ""P/quem vc prefere cair? Temer ou Lula?""",FALSE,0,"paulocolnaghi",2016-03-16 00:41:51,FALSE,"709899931033718784","709902463009169409","140528630","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AndreaPires1",0,FALSE,FALSE,NA,NA
"7","RT @g1: Para assessor de Delcídio do Amaral, Mercadante agiu a mando de Dilma https://t.co/RvGcs5bNSr #G1 https://t.co/yEqrR4RLOV",FALSE,0,NA,2016-03-16 00:41:50,FALSE,NA,"709902459129499649",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlvarenMarilia",59,TRUE,FALSE,NA,NA
"8","#MasterChefBR faz uma pizza anti dilma pra mim",FALSE,0,NA,2016-03-16 00:41:50,FALSE,NA,"709902458890395650",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DiegoSaibot",0,FALSE,FALSE,NA,NA
"9","Essa Dona Encarnação de Velho Chico, deveria ser ministra da uma olhada Dilma !
#globo #velhochico",FALSE,0,NA,2016-03-16 00:41:49,FALSE,NA,"709902458022191104",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","paulinhorosa29",0,FALSE,FALSE,NA,NA
"10","RT @diogomainardi: DELCÍDIO AMARAL: FUI ESCALADO POR DILMA E LULA PARA BARRAR LAVA JATO. https://t.co/JMQveHnWRt",FALSE,0,NA,2016-03-16 00:41:48,FALSE,NA,"709902452166885376",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Enidepaula",173,TRUE,FALSE,NA,NA
"11","RT @JornalOGlobo: Lula está reunido com Dilma para discutir ministério. https://t.co/AV4NHKgJaP https://t.co/bLq3eupf6m",FALSE,0,NA,2016-03-16 00:41:48,FALSE,NA,"709902451210653697",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MARcoKAlife",32,TRUE,FALSE,NA,NA
"12","RT @ppbuxbaum: Dilma acabou com o esquema de Aécio e Cunha em Furnas. Agora ela paga o preço por ser honesta https://t.co/fWxB3LQj7N",FALSE,0,NA,2016-03-16 00:41:47,FALSE,NA,"709902446932393984",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Armandofsales",12,TRUE,FALSE,NA,NA
"13","RT @JornalOGlobo: Lula está reunido com Dilma para discutir ministério. https://t.co/AV4NHKgJaP https://t.co/bLq3eupf6m",FALSE,0,NA,2016-03-16 00:41:46,FALSE,NA,"709902445162438657",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","machadomaely",32,TRUE,FALSE,NA,NA
"14","RT @teresinhalopes: O governo da Dilma virou um covil onde se escondem investigados!",FALSE,0,NA,2016-03-16 00:41:44,FALSE,NA,"709902435356164097",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ArcangelMigu",16,TRUE,FALSE,NA,NA
"15","Dilma Rousseff tem só uma saída ou põe a economia pra andar ou nada vai acontecer.",FALSE,0,NA,2016-03-16 00:41:44,FALSE,NA,"709902434622164992",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hungarobarros",0,FALSE,FALSE,NA,NA
"16","RT @rogeriovalente: O @DelcidioA diz na delação que Bumlai era o ""consigliere da família Lula"".Então @LulapeloBrasil é MAFIOSO. https://t.c…",FALSE,0,NA,2016-03-16 00:41:43,FALSE,NA,"709902432818561025",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nevescorretor",3,TRUE,FALSE,NA,NA
