,Unnamed: 0,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,senti
0,1,"RT @Estadao: 'Dilma Rousseff tinha pleno conhecimento do processo de aquisição em Pasadena', diz delação https://t.co/MpBYyfPPiB",False,0,,2016-03-15 22:47:07,False,,709873590158684161,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",csluz22,23,True,False,,,Neutro
1,2,RT @magnamoreira_: Culpa do Lula. Culpa da Dilma. Culpa do PT... https://t.co/aGchkpHbol,False,0,,2016-03-15 22:47:07,False,,709873589638529024,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",souptbrasil,6,True,False,,,Neutro
2,3,"RT @zerohora: Mudanças na direção de Furnas deu início a briga de Cunha contra Dilma, disse Delcídio https://t.co/wLqzA6EiH6 https://t.co/d…",False,0,,2016-03-15 22:47:06,False,,709873587793043457,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",franciscoamr,119,True,False,,,Neutro
3,4,"RT @PrSalomaoCarval: Se Dilma colocar Lula no ministério vamos parar o Brasil!

Read: https://t.co/tRtJ3wyPmS",False,0,,2016-03-15 22:47:04,False,,709873579903606784,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",DesoMonica,32,True,False,,,Neutro
4,5,"- @DanielCoelho45 destaca q Dilma, Lula e PT foram os grandes alvos dos protestos de domingo.",False,0,,2016-03-15 22:47:03,False,,709873572915838976,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",PSDBnaCamara,0,False,False,,,Neutro
5,6,"RT @manhattanfans: Delcídio: ""Na minha delação fica claro que fui escalado, como líder do governo, pela Dilma e pelo Lula para barrar a Lav…",False,0,,2016-03-15 22:47:02,False,,709873571011665920,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Philipp_br,69,True,False,,,Neutro
6,7,"RT @LuizAlaca: Dilma aponta a porta da rua a Mercadante, que até agora finge que não entendeu https://t.co/MJd7JynziB https://t.co/BeQsbEsV…",False,0,,2016-03-15 22:47:02,False,,709873570755821568,,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>",castrofor,3,True,False,,,Neutro
7,8,RT @casa_dos_pobres: sonho: que todo brasileiro leia a parte da delação que mostra como Dilma combateu corrupção em Furnas e Petrobrás. E c…,False,0,,2016-03-15 22:47:02,False,,709873570382528512,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",bebummineiro,20,True,False,,,Neutro
8,9,"RT @cavalopitbull: Dilma tá conseguindo dobrar a meta do desavergonhamento do PT
O nojo q o povo tinha do PT tbm dobrou.
#LulaGolpista",False,0,,2016-03-15 22:47:02,False,,709873570113925120,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Devaneio__,27,True,False,,,Neutro
9,10,RT @AndreiaSadi: E p q vc gravou? Marzagão: 'Sabendo que ele é desafeto do Delcidio e de maior confiança de Dilma eu tive o reflexo para me…,False,0,,2016-03-15 22:47:02,False,,709873569879171072,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",wmatheusabreu,26,True,False,,,Neutro
